,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
355,"Fish oil, sardine",100 g,902,100g,30g,710mg,0.00 mg,0,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.000 mg,0.0 mg,332.00 IU,0,0,0,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0,0,0,0,0,0,0,100.00 g,29.892 g,33.841 g,31.867 g,710.00 mg,0,0.00 g,0,0,0.00 g
356,"Fish oil, herring",100 g,902,100g,21g,766mg,0.00 mg,0,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.000 mg,0.0 mg,0,0,0,0,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0,0,0,0,0,0,0,100.00 g,21.290 g,56.564 g,15.604 g,766.00 mg,0,0.00 g,0,0,0.00 g
357,"Plantains, cooked",100 g,116,0.2g,0.1g,0,5.00 mg,12.7 mg,26.00 mcg,0.00 mcg,0.756 mg,0.233 mg,0.052 mg,0.046 mg,909.00 IU,45.00 mcg,353.00 mcg,369.00 mcg,0.00 mcg,28.00 mcg,0,0.00 mcg,0.240 mg,10.9 mg,0.00 IU,0.13 mg,0.13 mg,0.7 mcg,2.00 mg,0.066 mg,0.58 mg,32.00 mg,0,28.00 mg,465.00 mg,1.4 mcg,0.13 mg,0.79 g,0.031 g,0.066 g,0.065 g,0.012 g,0.070 g,0.027 g,0.039 g,0,0.022 g,0.036 g,0.037 g,0.010 g,0.027 g,0.030 g,0.025 g,0.021 g,0.009 g,0.020 g,0.028 g,31.15 g,2.3 g,14.00 g,0,0,0,0,0,0,0.18 g,0.069 g,0.015 g,0.033 g,0.00 mg,0.0 g,0.58 g,0.00 mg,0.00 mg,67.30 g
358,"Burdock root, raw",100 g,72,0.2g,,0,5.00 mg,11.7 mg,23.00 mcg,0.00 mcg,0.300 mg,0.321 mg,0.030 mg,0.010 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.240 mg,3.0 mg,0.00 IU,0.38 mg,0.38 mg,1.6 mcg,41.00 mg,0.077 mg,0.80 mg,38.00 mg,0.232 mg,51.00 mg,308.00 mg,0.7 mcg,0.33 mg,1.53 g,0.025 g,0.105 g,0.177 g,0.006 g,0.157 g,0.031 g,0.031 g,0,0.030 g,0.032 g,0.067 g,0.009 g,0.033 g,0.052 g,0.025 g,0.026 g,0.006 g,0.018 g,0.033 g,17.34 g,3.3 g,2.90 g,0,0,0,0,0,0,0.15 g,0.025 g,0.037 g,0.059 g,0.00 mg,0.0 g,0.89 g,0.00 mg,0.00 mg,80.09 g
359,"Butterbur, canned",100 g,3,0.1g,,0,4.00 mg,0,3.00 mcg,0.00 mcg,0.140 mg,0.011 mg,0.006 mg,0.006 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.033 mg,11.9 mg,0.00 IU,0,0,0,34.00 mg,0.037 mg,0.63 mg,2.00 mg,0.098 mg,4.00 mg,12.00 mg,0.9 mcg,0.06 mg,0.11 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38 g,0,0,0,0,0,0,0,0,0.13 g,0,0,0,0.00 mg,0,1.46 g,0,0,97.92 g
360,"Ostrich, raw, fan",100 g,117,2.7g,1g,73mg,75.00 mg,0,8.00 mcg,0.00 mcg,4.722 mg,1.165 mg,0.288 mg,0.196 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,4.97 mcg,0.513 mg,0.0 mg,0,0.20 mg,0.20 mg,0,6.00 mg,0.136 mg,4.38 mg,22.00 mg,0.017 mg,211.00 mg,308.00 mg,34.9 mcg,3.71 mg,21.81 g,1.399 g,1.492 g,2.040 g,0.224 g,3.343 g,1.458 g,0.548 g,0.389 g,1.036 g,1.772 g,1.926 g,0.610 g,0.900 g,1.137 g,0.873 g,0.957 g,0.194 g,0.709 g,1.077 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,2.65 g,0.950 g,0.950 g,0.500 g,73.00 mg,0.0 g,0.61 g,0.00 mg,0.00 mg,75.93 g
361,"SILK Nog, soymilk",100 g,74,1.6g,,0,61.00 mg,0,0.00 mcg,0,0,0,0.000 mg,0,0.00 IU,0,0,0,0,0,0,0.00 mcg,0,0.0 mg,0.00 IU,0,0,0,16.00 mg,0,0.30 mg,0.00 mg,0,0,123.00 mg,0.0 mcg,0.00 mg,2.46 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.30 g,0.0 g,9.84 g,0,0,0,0,0,0,1.64 g,0.000 g,0,0,0.00 mg,0,0.65 g,0,0,82.96 g
362,"Gravy, dry, brown",100 g,367,9.6g,3.3g,3mg,4843.00 mg,0,31.00 mcg,17.00 mcg,3.700 mg,0.100 mg,0.390 mg,0.180 mg,27.00 IU,8.00 mcg,0,0,0,0,0,0.70 mcg,0.100 mg,0.3 mg,0,0,0,0,132.00 mg,0.190 mg,1.72 mg,34.00 mg,0.412 mg,203.00 mg,262.00 mg,6.1 mcg,1.11 mg,10.74 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.38 g,2.0 g,0,0,0,0,0,0,0,9.61 g,3.319 g,4.452 g,0.405 g,3.00 mg,0.0 g,15.27 g,0,0,5.00 g
363,"Cheese, provolone",100 g,351,27g,17g,69mg,876.00 mg,15.4 mg,10.00 mcg,0.00 mcg,0.156 mg,0.476 mg,0.321 mg,0.019 mg,880.00 IU,236.00 mcg,0.00 mcg,68.00 mcg,0.00 mcg,0.00 mcg,0,1.46 mcg,0.073 mg,0.0 mg,20.00 IU,0.23 mg,0.23 mg,2.2 mcg,756.00 mg,0.026 mg,0.52 mg,28.00 mg,0.010 mg,496.00 mg,138.00 mg,14.5 mcg,3.23 mg,25.58 g,0.706 g,1.022 g,1.744 g,0.116 g,6.235 g,0.433 g,1.115 g,0,1.091 g,2.297 g,2.646 g,0.686 g,1.287 g,2.766 g,1.471 g,0.982 g,0.345 g,1.520 g,1.640 g,2.14 g,0.0 g,0.56 g,0,0,0,0,0,0,26.62 g,17.078 g,7.393 g,0.769 g,69.00 mg,0.0 g,4.71 g,0.00 mg,0.00 mg,40.95 g
364,"Cheese, roquefort",100 g,369,31g,19g,90mg,1809.00 mg,0,49.00 mcg,0.00 mcg,0.734 mg,1.731 mg,0.586 mg,0.040 mg,1047.00 IU,294.00 mcg,0,0,0,0,0,0.64 mcg,0.124 mg,0.0 mg,0,0,0,0,662.00 mg,0.034 mg,0.56 mg,30.00 mg,0.030 mg,392.00 mg,91.00 mg,14.5 mcg,2.08 mg,21.54 g,0.969 g,0.713 g,1.181 g,0.126 g,3.670 g,0.148 g,0.602 g,0,1.217 g,2.114 g,1.848 g,0.558 g,1.023 g,2.089 g,1.772 g,0.965 g,0.303 g,1.012 g,1.614 g,2.00 g,0.0 g,0,0,0,0,0,0,0,30.64 g,19.263 g,8.474 g,1.320 g,90.00 mg,0,6.44 g,0,0,39.38 g
365,"Muffins, oat bran",100 g,270,7.4g,1.1g,0,393.00 mg,6.6 mg,89.00 mcg,71.00 mcg,0.420 mg,1.010 mg,0.095 mg,0.262 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,13.00 mcg,0,0.01 mcg,0.161 mg,0.0 mg,0.00 IU,0.66 mg,0.66 mg,13.0 mcg,63.00 mg,0.330 mg,4.20 mg,157.00 mg,2.630 mg,376.00 mg,507.00 mg,11.0 mcg,1.84 mg,7.00 g,0.337 g,0.472 g,0.576 g,0.182 g,1.430 g,0.338 g,0.156 g,0,0.262 g,0.506 g,0.277 g,0.123 g,0.346 g,0.365 g,0.309 g,0.210 g,0.105 g,0.234 g,0.364 g,48.30 g,4.6 g,8.22 g,0,0,0,0,0,0,7.40 g,1.087 g,1.695 g,4.129 g,0.00 mg,0.0 g,2.30 g,0.00 mg,0.00 mg,35.00 g
366,"Syrups, grenadine",100 g,268,0g,,0,27.00 mg,0.0 mg,0.00 mcg,0.00 mcg,0.000 mg,0,0.010 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,6.00 mg,0.026 mg,0.05 mg,4.00 mg,0,4.00 mg,28.00 mg,0.6 mcg,0.13 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.91 g,0.0 g,46.55 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.69 g,0.00 mg,0.00 mg,32.40 g
367,"Raisins, seedless",100 g,299,0.5g,0.1g,0,11.00 mg,11.1 mg,5.00 mcg,0.00 mcg,0.766 mg,0.095 mg,0.125 mg,0.106 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.174 mg,2.3 mg,0.00 IU,0.12 mg,0.12 mg,3.5 mcg,50.00 mg,0.318 mg,1.88 mg,32.00 mg,0.299 mg,101.00 mg,749.00 mg,0.6 mcg,0.22 mg,3.07 g,0.105 g,0.413 g,0.110 g,0.019 g,0.164 g,0.080 g,0.072 g,0,0.057 g,0.096 g,0.084 g,0.021 g,0.065 g,0.254 g,0.070 g,0.077 g,0.050 g,0.012 g,0.083 g,79.18 g,3.7 g,59.19 g,29.68 g,0.00 g,27.75 g,0.00 g,0.00 g,0.45 g,0.46 g,0.058 g,0.051 g,0.037 g,0.00 mg,0.0 g,1.85 g,0.00 mg,0.00 mg,15.43 g
368,"Strawberries, raw",100 g,32,0.3g,,0,1.00 mg,5.7 mg,24.00 mcg,0.00 mcg,0.386 mg,0.125 mg,0.022 mg,0.024 mg,12.00 IU,1.00 mcg,0.00 mcg,7.00 mcg,0.00 mcg,26.00 mcg,0,0.00 mcg,0.047 mg,58.8 mg,0.00 IU,0.29 mg,0.29 mg,2.2 mcg,16.00 mg,0.048 mg,0.41 mg,13.00 mg,0.386 mg,24.00 mg,153.00 mg,0.4 mcg,0.14 mg,0.67 g,0.033 g,0.028 g,0.149 g,0.006 g,0.098 g,0.026 g,0.012 g,0,0.016 g,0.034 g,0.026 g,0.002 g,0.019 g,0.020 g,0.025 g,0.020 g,0.008 g,0.022 g,0.019 g,7.68 g,2.0 g,4.89 g,2.44 g,0.00 g,1.99 g,0.00 g,0.00 g,0.47 g,0.30 g,0.015 g,0.043 g,0.155 g,0.00 mg,0.0 g,0.40 g,0.00 mg,0.00 mg,90.95 g
369,"Fish, raw, burbot",100 g,90,0.8g,0.2g,60mg,97.00 mg,0,1.00 mcg,0.00 mcg,1.620 mg,0.150 mg,0.141 mg,0.372 mg,15.00 IU,5.00 mcg,0,0,0,0,0,0.80 mcg,0.300 mg,0.0 mg,0,0,0,0,50.00 mg,0.200 mg,0.90 mg,32.00 mg,0.700 mg,200.00 mg,404.00 mg,12.6 mcg,0.76 mg,19.31 g,1.168 g,1.156 g,1.978 g,0.207 g,2.883 g,0.927 g,0.569 g,0,0.890 g,1.570 g,1.774 g,0.572 g,0.754 g,0.683 g,0.788 g,0.847 g,0.216 g,0.652 g,0.995 g,0.00 g,0.0 g,0,0,0,0,0,0,0,0.81 g,0.163 g,0.133 g,0.297 g,60.00 mg,0,1.16 g,0,0,79.26 g
370,"Wheat germ, crude",100 g,360,9.7g,1.7g,0,12.00 mg,0,281.00 mcg,0.00 mcg,6.813 mg,2.257 mg,0.499 mg,1.882 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,1.300 mg,0.0 mg,0.00 IU,0,0,0,39.00 mg,0.796 mg,6.26 mg,239.00 mg,13.301 mg,842.00 mg,892.00 mg,79.2 mcg,12.29 mg,23.15 g,1.477 g,1.867 g,2.070 g,0.458 g,3.995 g,1.424 g,0.643 g,0,0.847 g,1.571 g,1.468 g,0.456 g,0.928 g,1.231 g,1.102 g,0.968 g,0.317 g,0.704 g,1.198 g,51.80 g,13.2 g,0,0,0,0,0,0,0,9.72 g,1.665 g,1.365 g,6.010 g,0.00 mg,0,4.21 g,0,0,11.12 g
371,"Wheat, hard white",100 g,342,1.7g,0.3g,0,2.00 mg,0,38.00 mcg,0.00 mcg,4.381 mg,0.954 mg,0.108 mg,0.387 mg,9.00 IU,0.00 mcg,0.00 mcg,5.00 mcg,0.00 mcg,220.00 mcg,0,0.00 mcg,0.368 mg,0.0 mg,0.00 IU,1.01 mg,1.01 mg,1.9 mcg,32.00 mg,0.363 mg,4.56 mg,93.00 mg,3.821 mg,355.00 mg,432.00 mg,0,3.33 mg,11.31 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.90 g,12.2 g,0.41 g,0,0,0,0,0,0,1.71 g,0.277 g,0.203 g,0.750 g,0.00 mg,0.0 g,1.52 g,0.00 mg,0.00 mg,9.57 g
372,"Wheat bran, crude",100 g,216,4.3g,0.6g,0,2.00 mg,74.4 mg,79.00 mcg,0.00 mcg,13.578 mg,2.181 mg,0.577 mg,0.523 mg,9.00 IU,0.00 mcg,0.00 mcg,6.00 mcg,0.00 mcg,240.00 mcg,0,0.00 mcg,1.303 mg,0.0 mg,0.00 IU,1.49 mg,1.49 mg,1.9 mcg,73.00 mg,0.998 mg,10.57 mg,611.00 mg,11.500 mg,1013.00 mg,1182.00 mg,77.6 mcg,7.27 mg,15.55 g,0.765 g,1.087 g,1.130 g,0.371 g,2.874 g,0.898 g,0.430 g,0,0.486 g,0.928 g,0.600 g,0.234 g,0.595 g,0.882 g,0.684 g,0.500 g,0.282 g,0.436 g,0.726 g,64.51 g,42.8 g,0.41 g,0,0,0,0,0,0,4.25 g,0.630 g,0.637 g,2.212 g,0.00 mg,0.0 g,5.79 g,0.00 mg,0.00 mg,9.89 g
373,"Gooseberries, raw",100 g,44,0.6g,,0,1.00 mg,0,6.00 mcg,0.00 mcg,0.300 mg,0.286 mg,0.030 mg,0.040 mg,290.00 IU,15.00 mcg,0,0,0,0,0,0.00 mcg,0.080 mg,27.7 mg,0,0.37 mg,0.37 mg,0,25.00 mg,0.070 mg,0.31 mg,10.00 mg,0.144 mg,27.00 mg,198.00 mg,0.6 mcg,0.12 mg,0.88 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18 g,4.3 g,0,0,0,0,0,0,0,0.58 g,0.038 g,0.051 g,0.317 g,0.00 mg,0.0 g,0.49 g,0,0,87.87 g
