meal_id,name,calories
730,"KELLOGG'S, Corn Flakes Crumbs",367
733,"Beets, drained solids, canned",31
735,"Fast foods, hot fudge, sundae",180
736,"KEEBLER, Iced Oatmeal Cookies",467
740,"Oil, salad or cooking, peanut",884
742,"Syrups, fudge-type, chocolate",350
743,"Corn, steamed (Navajo), white",386
745,"Spices, dried, coriander leaf",279
746,"Popovers, unenriched, dry mix",371
747,"Lemon grass (citronella), raw",99
748,"Candies, with almonds, nougat",398
750,"Candies, REESE'S PIECES Candy",497
752,"Noodles, unenriched, dry, egg",384
753,"Egg, scrambled, cooked, whole",149
755,"Jujube, dried, fresh, Chinese",281
756,"GIRL SCOUTS, Trefoils Cookies",498
758,"Blueberries, sweetened, dried",317
759,"McDONALD'S, Hot Mustard Sauce",190
760,"Candies, PAYDAY Bar, HERSHEYS",490
761,"Sauce, ready-to-serve, tartar",211
763,"Sauce, thick, white, homemade",186
766,"Bread, bollilo, Mexican, roll",318
768,"Currants, raw, european black",63
769,"Pineapple, all varieties, raw",50
771,"Cereals ready-to-eat, FAMILIA",388
772,"Leavening agents, baking soda",0
773,"Asparagus, unprepared, frozen",24
774,"English muffins, whole-wheat",203
776,"Crackers, wheat, melba toast",374
777,"Crackers, plain, melba toast",390
778,"Crackers, plain, wafers, rye",334
779,"Apples, with skin, gala, raw",57
782,"Peanut spread, reduced sugar",650
785,"Peppers, sauteed, red, sweet",133
786,"Tree fern, with salt, cooked",40
787,"Pheasant, meat and skin, raw",181
788,"Oil, salad or cooking, olive",884
789,"Squash, raw, hubbard, winter",40
790,"Rambutan, syrup pack, canned",82
794,"McDONALD'S, Hot Fudge Sundae",186
796,"PEPPERIDGE FARM, White Bread",280
799,Orange Pineapple Juice Blend,51
800,"Beverages, hard cider, AMBER",56
801,"Babyfood, apple-banana juice",51
802,"Spices, ground, mustard seed",508
803,"ON THE BORDER, refried beans",144
804,"Cornmeal, white, whole-grain",362
806,"Kanpyo, (dried gourd strips)",258
807,"Pancakes, reduced fat, plain",269
808,"Tennis Bread, plain (Apache)",258
810,"Cockles, raw (Alaska Native)",79
812,"Apples, with skin, fuji, raw",63
814,"Peppers, canned, hot pickled",22
815,"McDONALD'S, Hotcakes (plain)",228
816,"Lettuce, raw, cos or romaine",17
817,"MURRAY, JACKS Vanilla Wafers",438
818,"Noodles, dry, soba, japanese",336
819,"Beverages, powder, Cocoa mix",398
820,"Game meat, raw, ground, deer",157
821,"Dessert topping, pressurized",264
825,"Pinon Nuts, roasted (Navajo)",541
826,"Mothbeans, raw, mature seeds",343
827,"Bread, toasted, pumpernickel",275
828,"Bread, enriched, white, pita",275
830,"Muffins, dry mix, wheat bran",396
831,"Candies, semisweet chocolate",480
833,"Cranberry juice, unsweetened",46
835,"Cake, dry mix, light, yellow",404
836,"Buckwheat flour, whole-groat",335
837,"Sweet potato, mashed, canned",101
842,"Rice, raw, long-grain, brown",367
844,"Oil, and olive, peanut, corn",884
845,"Soy flour, roasted, full-fat",439
849,"PACE, Dry Taco Seasoning Mix",188
850,"Alfalfa seeds, raw, sprouted",23
851,"Squash, raw (Navajo), Indian",26
853,"SMART SOUP, Greek Minestrone",40
855,"Babyfood, mixed fruit, juice",47
857,"Grapefruit juice, raw, white",39
858,"Babyfood, arrowroot, cookies",424
862,HEALTHY REQUEST Tomato juice,21
863,"Crackers, whole-wheat, matzo",351
865,"Puddings, ready-to-eat, rice",108
866,"Pectin, dry mix, unsweetened",325
867,"Candies, CARAMELLO Candy Bar",462
869,"Seeds, raw, breadfruit seeds",191
870,"Mushrooms, stir-fried, white",26
871,"Snacks, rolls, fruit leather",371
872,"Sauce, thin, white, homemade",105
873,"Sauce, ready-to-serve, salsa",29
874,"Peppers, raw, red, hot chili",40
876,"Currants, raw, red and white",56
878,"Pie fillings, cherry, canned",115
880,"Crackers, reduced fat, wheat",444
881,"Gravy, powder, dry, mushroom",328
882,"Gravy, dry, unspecified type",344
883,"Seeds, low-fat, sesame flour",333
884,"Mushrooms, microwaved, white",35
885,"Beverages, AMP, Energy drink",46
887,"Snack, original bar, BALANCE",415
888,"Beverages, well, tap, water",0
889,"Chrysanthemum, raw, garland",24
890,"Stew, moose (Alaska Native)",55
892,"Oil, walrus (Alaska Native)",900
893,"Grapefruit juice, raw, pink",39
895,"Radish seeds, raw, sprouted",43
896,"MORI-NU, firm, silken, Tofu",62
897,"MORI-NU, soft, silken, Tofu",55
898,"Bread, rye, reduced-calorie",203
899,"Snacks, air-popped, popcorn",387
900,"Muffins, dry mix, blueberry",293
903,"Corn pudding, home prepared",131
904,"Popovers, enriched, dry mix",371
905,"Soybeans, raw, mature seeds",446
908,"MURRAY, Vanilla Sugar Wafer",527
909,"Radishes, raw, white icicle",14
910,"Vinespinach, raw, (basella)",19
911,"Syrups, high-fructose, corn",281
912,"Stew, steamed corn (Navajo)",112
916,"Nuts, dried, black, walnuts",619
917,"ON THE BORDER, Mexican rice",195
918,"Mushrooms, raw, Chanterelle",38
919,"McDONALD'S, Baked Apple Pie",323
921,"CHICK-FIL-A, Chick-n-Strips",228
922,"Edamame, unprepared, frozen",109
923,"Mollusks, raw, blue, mussel",86
927,"Snacks, tropical, trail mix",442
928,"Nuts, full fat, acorn flour",501
931,"Fast foods, caramel, sundae",196
932,"Pie fillings, canned, apple",100
933,"Sauce, ready-to-serve, plum",184
935,"Gravy, mushroom, CAMPBELL'S",34
939,"Bread, canned, boston brown",195
942,"Beverages, powder, Lemonade",376
943,"Apricots, sweetened, frozen",98
944,"Muffins, toaster-type, corn",346
945,"Tomatoes, cooked, ripe, red",18
946,"Squash, raw, baby, zucchini",21
948,"McDONALD'S, QUARTER POUNDER",244
953,"CRACKER BARREL, steak fries",255
955,"Candies, CHUNKY Bar, NESTLE",475
960,"Cereals ready-to-eat, ALPEN",352
965,"Nuts, hazelnuts or filberts",628
966,"Babyfood, teething biscuits",392
967,"PACE, Organic Picante Sauce",25
968,"Peppers, raw, yellow, sweet",27
970,"Potato salad, home-prepared",143
971,"GIRL SCOUTS, Chalet Cookies",478
972,"GIRL SCOUTS, Samoas Cookies",489
974,"Game meat, raw, ground, elk",172
975,"Candies, unsweetened, carob",540
976,"Babyfood, toddler, potatoes",52
979,"Corn dogs, prepared, frozen",250
981,"Noodles, enriched, dry, egg",384
982,"Persimmons, dried, japanese",274
983,"Carrots, unprepared, frozen",36
984,"Carambola, raw, (starfruit)",31
986,"Beans, home prepared, baked",155
989,"Turnips, unprepared, frozen",16
990,"PACE, Cilantro Chunky Salsa",25
991,"PACE, Chipotle Chunky Salsa",25
992,"Jams and preserves, apricot",242
995,"Spaghetti, cooked, spinach",130
997,"Guinea hen, raw, meat only",110
998,"Cookies, soft-type, raisin",401
999,"Squash, raw, acorn, winter",40
1000,"Candies, KIT KAT Wafer Bar",518
1001,"Peppers, raw, green, sweet",20
1003,"DENNY'S, top sirloin steak",182
1004,"Pomegranate juice, bottled",54
1005,"Nance, unsweetened, frozen",73
1006,"Sauce, sriracha, hot chile",93
1007,"Bread, toasted, wheat germ",293
1009,"Vegetable oil, palm kernel",862
1014,"Cake, dry mix, gingerbread",437
1015,"BURGER KING, Vanilla Shake",168
1017,"Pumpkin, with salt, canned",34
1018,"KEEBLER, Crackers, ANIMALS",450
1019,"Game meat, raw, wild, boar",122
1020,"Rolls, whole-wheat, dinner",266
1027,"Fast foods, scrambled, egg",212
1028,"Snacks, salted, pita chips",457
1029,"Taro, without salt, cooked",142
1032,"Fast foods, mashed, potato",89
1035,"Sorghum flour, whole-grain",359
1037,"MOTHER'S, Macaroon Cookies",552
1038,"PACE, Thick & Chunky Salsa",25
1039,"Egg, omelet, cooked, whole",154
1040,"Java-plum, raw, (jambolan)",60
1041,"Snacks, regular, trail mix",462
1042,"Puddings, dry mix, tapioca",369
1043,"Dip, original flavor, bean",119
1045,"McDONALD'S, Barbeque Sauce",165
1046,"Pasta, cooked, whole-wheat",149
1047,"Sauce, tomato based, steak",95
1048,"Mushrooms, dried, shiitake",296
1050,"Carissa, raw, (natal-plum)",62
1051,"Beverages, chocolate syrup",279
1052,"Mayonnaise, made with tofu",322
1054,"Babyfood, toddler, carrots",26
1055,"Snacks, plain, bagel chips",451
1059,"Bread, unenriched, raisin",274
1061,"Bagels, whole grain white",255
1063,"Apples, without skin, raw",48
1064,"Tomatoes, canned, crushed",32
1065,"Chrysanthemum leaves, raw",24
1066,"Lentils, raw, pink or red",358
1069,"Bologna, meat and poultry",281
1072,"TACO BELL, Nachos Supreme",223
1073,"Mustard, yellow, prepared",60
1074,"Rhubarb, uncooked, frozen",21
1075,"BURGER KING, french fries",280
1076,"Bread, toasted, rice bran",264
1077,"Broccoli, cooked, chinese",22
1078,"Nuts, raw, macadamia nuts",718
1079,"Candies, MOUNDS Candy Bar",486
1084,"Nuts, raw, pistachio nuts",560
1085,"Egg, fried, cooked, whole",196
1086,"Mammy-apple, raw, (mamey)",51
1088,"Edamame, prepared, frozen",121
1089,"Sandwich spread, meatless",149
1090,"Luncheon slices, meatless",189
1091,"KEEBLER, Cookies, ANIMALS",450
1092,"Vermicelli, made from soy",331
1094,"Mountain yam, raw, hawaii",67
1095,"PACE, Salsa Refried Beans",60
1097,"PACE, Triple Pepper Salsa",47
1099,"Dessert topping, powdered",577
1102,"PACE, Diced Green Chilies",27
1103,"Blueberries, frozen, wild",57
1104,"Lupins, raw, mature seeds",371
1105,"Agave, cooked (Southwest)",135
1106,"Cookies, coconut macaroon",460
1107,"Avocados, California, raw",167
1108,"Crackers, rye, crispbread",366
1111,"Gravy, au jus, CAMPBELL'S",8
1113,"Cookies, dry mix, oatmeal",462
1115,"McDONALD'S, BIG BREAKFAST",285
1116,"Crackers, low salt, wheat",473
1117,"Cornmeal, yellow (Navajo)",384
1118,"Frankfurter, heated, meat",278
1122,"Gelatin desserts, dry mix",381
1123,"Gravy, dry, brown instant",380
1124,"SMART SOUP, French Lentil",53
1125,"Fast foods, plain, hotdog",247
1128,"Nuts, canned, ginkgo nuts",111
1129,"Spices, pumpkin pie spice",342
1130,"Spices, poultry seasoning",307
1133,"Shake, vanilla, fast food",148
1135,"Jerusalem-artichokes, raw",73
1136,"Radishes, dried, oriental",271
1137,"Side dishes, potato salad",114
1138,"Persimmons, raw, japanese",70
1139,Rice and Wheat cereal bar,409
1142,"Onions, dehydrated flakes",349
1143,"Seeds, dried, lotus seeds",332
1146,"Pretzels, unsalted, soft",345
1147,"Sweet potato leaves, raw",42
1149,"Bread, toasted, oat bran",259
1150,"Pheasant, meat only, raw",133
1154,"Spices, ground, turmeric",312
1155,"BURGER KING, Onion Rings",417
1156,"Salad dressing, coleslaw",390
1160,"APPLEBEE'S, french fries",290
1161,"Candies, white chocolate",539
1162,"Fast foods, hush puppies",296
1163,"Nuts, dried, hickorynuts",657
1164,"Spices, ground, allspice",263
1167,"Kale, unprepared, frozen",28
1168,"Mushrooms, raw, shiitake",34
1170,"Fungi, dried, Cloud ears",284
1171,"CHICK-FIL-A, hash browns",301
1172,"Crackers, water biscuits",384
1173,"KEEBLER, Oatmeal Cookies",478
