meal_id,name,calories
727,"Ostrich, cooked, inside strip",164
728,"SILK Light Chocolate, soymilk",49
730,"KELLOGG'S, Corn Flakes Crumbs",367
733,"Beets, drained solids, canned",31
737,"Ice creams, fat free, vanilla",138
741,"Turkey, raw, meat only, whole",112
745,"Spices, dried, coriander leaf",279
746,"Popovers, unenriched, dry mix",371
747,"Lemon grass (citronella), raw",99
748,"Candies, with almonds, nougat",398
752,"Noodles, unenriched, dry, egg",384
755,"Jujube, dried, fresh, Chinese",281
757,"Quail, raw, meat only, breast",123
758,"Blueberries, sweetened, dried",317
762,Pulled pork in barbecue sauce,168
768,"Currants, raw, european black",63
769,"Pineapple, all varieties, raw",50
770,"Fish, raw, Atlantic, wolffish",96
772,"Leavening agents, baking soda",0
773,"Asparagus, unprepared, frozen",24
774,"English muffins, whole-wheat",203
776,"Crackers, wheat, melba toast",374
777,"Crackers, plain, melba toast",390
778,"Crackers, plain, wafers, rye",334
779,"Apples, with skin, gala, raw",57
780,"Fish, dry heat, cooked, ling",111
781,"Fish, dry heat, cooked, cusk",112
784,"Babyfood, junior, beef, meat",81
786,"Tree fern, with salt, cooked",40
789,"Squash, raw, hubbard, winter",40
790,"Rambutan, syrup pack, canned",82
799,Orange Pineapple Juice Blend,51
800,"Beverages, hard cider, AMBER",56
801,"Babyfood, apple-banana juice",51
804,"Cornmeal, white, whole-grain",362
805,"Ground turkey, raw, fat free",112
806,"Kanpyo, (dried gourd strips)",258
807,"Pancakes, reduced fat, plain",269
808,"Tennis Bread, plain (Apache)",258
810,"Cockles, raw (Alaska Native)",79
811,"Yogurt, lowfat, plain, Greek",73
812,"Apples, with skin, fuji, raw",63
814,"Peppers, canned, hot pickled",22
816,"Lettuce, raw, cos or romaine",17
818,"Noodles, dry, soba, japanese",336
819,"Beverages, powder, Cocoa mix",398
826,"Mothbeans, raw, mature seeds",343
827,"Bread, toasted, pumpernickel",275
828,"Bread, enriched, white, pita",275
833,"Cranberry juice, unsweetened",46
834,"Ostrich, cooked, tip trimmed",145
836,"Buckwheat flour, whole-groat",335
837,"Sweet potato, mashed, canned",101
839,"Pastrami, 98% fat-free, beef",95
840,"Fish, dry heat, cooked, scup",135
842,"Rice, raw, long-grain, brown",367
847,"Fish, raw, european, anchovy",131
848,"Game meat, raw, wild, rabbit",114
849,"PACE, Dry Taco Seasoning Mix",188
850,"Alfalfa seeds, raw, sprouted",23
851,"Squash, raw (Navajo), Indian",26
852,"Fish, raw, Atlantic, croaker",104
853,"SMART SOUP, Greek Minestrone",40
855,"Babyfood, mixed fruit, juice",47
856,"Milk shakes, thick chocolate",119
857,"Grapefruit juice, raw, white",39
859,"Fish, raw, Atlantic, pollock",92
862,HEALTHY REQUEST Tomato juice,21
863,"Crackers, whole-wheat, matzo",351
864,"Soup, dry, cubed, beef broth",170
865,"Puddings, ready-to-eat, rice",108
866,"Pectin, dry mix, unsweetened",325
870,"Mushrooms, stir-fried, white",26
871,"Snacks, rolls, fruit leather",371
873,"Sauce, ready-to-serve, salsa",29
874,"Peppers, raw, red, hot chili",40
875,"Squash, raw, scallop, summer",18
876,"Currants, raw, red and white",56
877,"Crustaceans, raw, blue, crab",87
878,"Pie fillings, cherry, canned",115
879,"Yogurt, nonfat, plain, Greek",59
881,"Gravy, powder, dry, mushroom",328
883,"Seeds, low-fat, sesame flour",333
884,"Mushrooms, microwaved, white",35
885,"Beverages, AMP, Energy drink",46
886,SILK Black Cherry soy yogurt,88
888,"Beverages, well, tap, water",0
889,"Chrysanthemum, raw, garland",24
890,"Stew, moose (Alaska Native)",55
893,"Grapefruit juice, raw, pink",39
894,"Babyfood, junior, ham, meat",97
895,"Radish seeds, raw, sprouted",43
896,"MORI-NU, firm, silken, Tofu",62
897,"MORI-NU, soft, silken, Tofu",55
898,"Bread, rye, reduced-calorie",203
899,"Snacks, air-popped, popcorn",387
900,"Muffins, dry mix, blueberry",293
904,"Popovers, enriched, dry mix",371
909,"Radishes, raw, white icicle",14
910,"Vinespinach, raw, (basella)",19
911,"Syrups, high-fructose, corn",281
912,"Stew, steamed corn (Navajo)",112
914,"Ostrich, raw, outside strip",120
917,"ON THE BORDER, Mexican rice",195
918,"Mushrooms, raw, Chanterelle",38
922,"Edamame, unprepared, frozen",109
923,"Mollusks, raw, blue, mussel",86
925,"Cereals, dry, CREAM OF RICE",370
929,"Sauce, ready-to-serve, fish",35
930,"Fish, raw, european, turbot",95
932,"Pie fillings, canned, apple",100
933,"Sauce, ready-to-serve, plum",184
934,"Ostrich, cooked, inside leg",141
935,"Gravy, mushroom, CAMPBELL'S",34
939,"Bread, canned, boston brown",195
942,"Beverages, powder, Lemonade",376
943,"Apricots, sweetened, frozen",98
945,"Tomatoes, cooked, ripe, red",18
946,"Squash, raw, baby, zucchini",21
947,HORMEL Canadian Style Bacon,122
956,"Fish, raw, freshwater, drum",119
960,"Cereals ready-to-eat, ALPEN",352
961,"Light ice cream, Creamsicle",165
962,"Toppings, marshmallow cream",322
966,"Babyfood, teething biscuits",392
967,"PACE, Organic Picante Sauce",25
968,"Peppers, raw, yellow, sweet",27
976,"Babyfood, toddler, potatoes",52
978,"Sauce, ready-to-serve, duck",245
981,"Noodles, enriched, dry, egg",384
982,"Persimmons, dried, japanese",274
983,"Carrots, unprepared, frozen",36
984,"Carambola, raw, (starfruit)",31
988,"SILK Light Vanilla, soymilk",33
989,"Turnips, unprepared, frozen",16
990,"PACE, Cilantro Chunky Salsa",25
991,"PACE, Chipotle Chunky Salsa",25
992,"Jams and preserves, apricot",242
994,"Ham, cooked, smoked, honey",122
995,"Spaghetti, cooked, spinach",130
997,"Guinea hen, raw, meat only",110
999,"Squash, raw, acorn, winter",40
1001,"Peppers, raw, green, sweet",20
